               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087093,            0.032446,                   0,           0.0016667,            0.090909,           0.0012075,          0.00035176,            0.074992,            0.025489,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.086025,             0.03157,                   0,           0.0033333,             0.36364,            0.011471,           0.0030516,            0.068822,            0.021984,                   0,            0.064861,           0.0038614,           0.0038614
                   2,            0.069427,            0.029766,                   0,           0.0033333,             0.45455,            0.065414,            0.031846,            0.060929,            0.017992,                   0,            0.046783,           0.0057832,           0.0057832
                   3,            0.057131,            0.027872,                   0,             0.14867,            0.090909,             0.11743,            0.043312,            0.060355,            0.016316,                   0,            0.028665,           0.0076654,           0.0076654
                   4,            0.066757,            0.028633,                   0,              0.1244,              0.1045,             0.13544,            0.042981,            0.059882,            0.014478,                   0,            0.010508,            0.009508,            0.009508
                   5,            0.056723,             0.02418,                   0,             0.16551,             0.27273,             0.10991,            0.029424,            0.052253,            0.011728,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.051978,            0.023907,                   0,             0.19372,             0.27273,             0.18365,            0.040844,            0.044812,            0.010808,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.057703,            0.025594,                   0,             0.16144,             0.27273,             0.20919,            0.070165,            0.037288,            0.010628,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.057125,            0.024966,                   0,             0.22804,             0.36364,              0.2516,            0.096389,            0.034255,            0.010427,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.057459,            0.025096,                   0,             0.22747,              0.3753,             0.24283,             0.10625,            0.039792,            0.008844,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.056273,            0.021099,                   0,             0.38206,             0.36364,             0.35152,             0.13958,            0.037383,           0.0086104,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.052987,            0.021983,                   0,             0.39075,             0.27273,             0.34213,             0.13069,            0.035458,           0.0092471,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.056318,            0.024304,                   0,                   1,             0.26119,             0.37194,             0.16647,            0.034337,           0.0092495,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.050113,            0.022015,                   0,             0.83687,             0.18182,             0.31427,             0.10616,            0.039917,           0.0087794,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.052252,             0.02234,                   0,             0.58006,             0.18182,             0.28157,             0.13159,            0.035508,             0.00991,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.046575,             0.02209,                   0,             0.30283,             0.27273,             0.36496,             0.14863,            0.038045,           0.0093429,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.044574,            0.023333,                   0,             0.45198,             0.36364,             0.36649,             0.13392,            0.035099,            0.010097,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041463,            0.021665,                   0,             0.33968,             0.18182,             0.26512,             0.10658,            0.033855,            0.010119,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.05209,            0.022757,                   0,             0.56145,             0.36364,             0.41058,             0.14243,            0.032418,           0.0098244,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042097,            0.020145,                   0,             0.44089,             0.54545,             0.41432,             0.15099,            0.033867,           0.0097609,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.045746,            0.022074,                   0,             0.37783,             0.54545,             0.44033,              0.1604,            0.036137,           0.0092696,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.043513,            0.022828,                   0,             0.58734,             0.54545,             0.57718,             0.21101,            0.035705,           0.0095746,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.044821,            0.020873,                   0,              0.3972,             0.45455,              0.4235,             0.16593,            0.042041,           0.0091042,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.048704,            0.022472,                   0,             0.59633,             0.45455,             0.55286,             0.16093,            0.042725,           0.0089553,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.043934,            0.024327,                   0,             0.81794,             0.41256,             0.56986,             0.19202,            0.040888,           0.0088817,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.040849,            0.019946,                   0,             0.52649,             0.72727,             0.58596,             0.14772,            0.039382,            0.009138,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.041746,            0.021258,                   0,             0.63153,             0.63636,             0.52097,             0.20917,            0.042772,           0.0087669,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040408,             0.02245,                   0,             0.74877,             0.63636,             0.66189,             0.22785,            0.045791,           0.0086366,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039267,            0.020459,                   0,             0.63503,             0.72727,             0.65549,             0.21403,            0.047285,           0.0084764,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.042709,            0.021644,                   0,             0.65445,             0.69063,             0.62062,             0.13106,            0.049848,           0.0086608,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.044959,            0.020619,                   0,             0.82038,             0.45455,             0.63071,             0.19477,            0.050435,           0.0086501,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.039456,            0.021248,                   0,             0.53537,             0.54545,             0.42326,             0.15705,            0.046721,           0.0093853,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.043702,            0.021519,                   0,             0.33653,             0.46151,             0.40564,             0.15696,             0.04874,           0.0091789,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.047465,            0.020533,                   0,             0.65848,             0.36364,             0.47685,             0.17011,            0.047436,           0.0091721,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.036824,            0.021155,                   0,             0.55078,             0.27273,             0.31872,             0.14238,            0.049987,           0.0089619,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.041789,            0.019898,                   0,             0.81805,             0.41285,             0.52309,             0.18066,            0.044969,           0.0094852,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.037899,            0.018477,                   0,             0.50448,             0.54545,             0.53946,             0.20064,            0.030789,           0.0098708,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.037283,            0.022788,                   0,             0.62992,             0.45455,             0.47151,             0.23592,            0.033108,           0.0096669,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.035678,            0.017481,                   0,             0.79253,             0.69671,              0.7394,             0.25518,            0.035849,           0.0091048,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041923,            0.018982,                   0,              0.6383,             0.48356,             0.53592,             0.27694,            0.035281,           0.0086445,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.035161,            0.020624,                   0,             0.77934,             0.45455,             0.53716,             0.28719,            0.034598,           0.0086802,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.038228,            0.018873,                   0,             0.88475,             0.70021,             0.79137,             0.29991,             0.03422,           0.0088512,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.03949,            0.017703,                   0,             0.83168,             0.54545,             0.63491,             0.31246,            0.030855,            0.008591,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031018,            0.019795,                   0,             0.83923,             0.54545,             0.67579,             0.31243,            0.028538,           0.0087756,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.038834,            0.020237,                   0,             0.98209,             0.63636,             0.79831,             0.31951,            0.027176,            0.008945,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.036561,            0.019843,                   0,              0.7745,             0.62563,             0.72353,             0.39148,            0.028618,           0.0084997,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033999,            0.017536,                   0,             0.85147,             0.63636,             0.80643,             0.33189,            0.028113,           0.0084344,                   0,            0.005545,            0.005545,            0.005545
                  47,              0.0379,            0.019324,                   0,             0.88728,             0.71673,               0.855,             0.39981,            0.027896,           0.0079204,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.032323,            0.020609,                   0,             0.97605,             0.63636,             0.81142,             0.36167,            0.027717,           0.0078623,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.031364,            0.017269,                   0,             0.99511,             0.81818,             0.92667,             0.39457,            0.026915,           0.0078598,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.029405,            0.018712,                   0,              0.8223,              0.8429,             0.91908,             0.33636,            0.026709,           0.0078004,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.029311,            0.019336,                   0,                   1,             0.79617,              0.8942,             0.32195,            0.026829,           0.0078571,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.029611,            0.018082,                   0,                   1,             0.79182,             0.90125,             0.35743,             0.02694,           0.0079338,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.033866,            0.018624,                   0,             0.79112,             0.81818,             0.88277,             0.33799,             0.02925,           0.0078371,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.038802,            0.016981,                   0,             0.88394,             0.63636,             0.86549,             0.35119,            0.030344,            0.007538,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.033459,            0.017928,                   0,             0.97573,             0.72727,             0.88979,             0.34386,            0.029907,            0.007527,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.032595,             0.01853,                   0,             0.96696,             0.72727,             0.89392,             0.33872,            0.029383,            0.007539,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.028966,            0.017299,                   0,             0.93957,             0.72727,             0.89606,             0.35981,            0.029358,           0.0076814,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.028746,            0.016535,                   0,             0.94262,             0.72727,             0.86268,             0.38093,            0.028882,           0.0076455,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.033743,            0.019592,                   0,             0.74212,             0.90909,             0.88437,             0.36745,              0.0284,           0.0077538,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.029959,            0.016849,                   0,             0.89576,             0.78351,             0.89671,             0.40672,             0.02825,           0.0076131,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.028406,            0.016686,                   0,             0.90264,             0.84458,             0.91038,             0.35845,             0.02701,           0.0076136,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.032703,            0.018441,                   0,             0.89427,             0.77127,             0.88443,             0.32926,            0.026834,           0.0075208,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.029591,            0.019063,                   0,                   1,             0.75448,             0.89304,             0.37988,            0.024439,           0.0075809,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02855,            0.017628,                   0,             0.97756,             0.81818,             0.89525,             0.38229,            0.023695,           0.0075406,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.031829,             0.01549,                   0,                   1,             0.80921,             0.89304,             0.38978,            0.023074,           0.0077959,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.034264,            0.018025,                   0,                   1,             0.79905,             0.89214,             0.41826,            0.023915,           0.0079585,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.032458,            0.018561,                   0,                   1,             0.79322,             0.89879,             0.40328,            0.024637,           0.0081711,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.027778,            0.016796,                   0,             0.95305,             0.81818,             0.91253,             0.39756,            0.024957,           0.0082707,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024578,            0.016645,                   0,             0.90898,             0.90909,             0.90891,             0.41363,            0.025293,           0.0082822,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031421,            0.016233,                   0,                   1,              0.8889,             0.91384,             0.40843,            0.024365,           0.0082931,                   0,            0.003169,            0.003169,            0.003169
