               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.031519,            0.015111,                   0,             0.99315,             0.90909,               0.915,              0.4294,            0.024478,            0.008203,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.026426,            0.016353,                   0,             0.97988,             0.90909,               0.914,             0.42491,            0.025061,           0.0081436,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032683,            0.018278,                   0,                   1,             0.88785,             0.92071,             0.41895,            0.023901,           0.0082673,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.027263,            0.016132,                   0,                   1,             0.89679,             0.91894,             0.40741,             0.02369,           0.0083558,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.028774,            0.017746,                   0,             0.88559,             0.90909,             0.91205,             0.41847,            0.023366,           0.0082004,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.030242,            0.018157,                   0,                   1,             0.89679,             0.91956,             0.42515,            0.022748,           0.0080579,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.025718,            0.016135,                   0,             0.99181,             0.90909,             0.91625,             0.40922,            0.023181,           0.0078605,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02581,            0.017185,                   0,                   1,             0.90749,             0.91786,             0.40855,            0.023233,           0.0078897,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.030196,            0.016851,                   0,                   1,              0.8982,             0.91753,              0.4202,             0.02356,           0.0080573,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.026404,            0.016397,                   0,                   1,             0.89907,             0.91665,             0.42288,            0.023626,           0.0080298,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.029342,            0.017019,                   0,             0.98937,             0.81818,              0.9082,             0.42253,            0.024565,           0.0079687,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024069,            0.017579,                   0,             0.88094,             0.90909,             0.90746,             0.40028,            0.025175,            0.007875,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.028891,            0.016194,                   0,                   1,             0.90112,             0.91625,              0.4437,            0.024903,           0.0077375,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.024689,            0.015874,                   0,                   1,             0.89805,             0.91521,             0.44611,             0.02533,           0.0077959,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.030354,            0.018302,                   0,                   1,             0.89404,             0.91588,             0.44974,            0.025685,           0.0078548,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023599,            0.016164,                   0,               0.976,             0.90909,             0.91722,             0.45456,            0.026052,           0.0077872,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.023778,            0.015953,                   0,             0.99316,             0.90909,             0.91753,             0.45399,            0.026357,           0.0077106,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.025746,            0.015604,                   0,             0.97501,             0.90909,             0.91651,             0.45503,             0.02638,            0.007551,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02939,            0.016639,                   0,             0.95751,             0.90909,             0.91408,             0.42749,             0.02688,           0.0078356,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.026653,            0.016434,                   0,             0.96819,             0.90909,             0.91553,             0.45355,            0.026885,            0.007731,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.024953,            0.018191,                   0,             0.95393,             0.90909,             0.91305,             0.44168,            0.026694,           0.0078612,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.025137,            0.015143,                   0,             0.97461,             0.90909,             0.91434,             0.44449,            0.026922,           0.0078334,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02546,            0.015325,                   0,             0.96944,             0.90909,               0.915,             0.41852,            0.026816,           0.0079442,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023261,            0.014824,                   0,             0.96254,             0.90909,             0.91553,             0.41819,            0.027455,           0.0078469,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.028665,            0.016273,                   0,             0.96556,             0.90909,             0.91553,             0.41167,            0.026791,           0.0079259,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.026862,            0.016059,                   0,             0.93377,             0.90909,             0.91651,             0.41358,            0.027364,           0.0078991,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.024615,            0.015501,                   0,             0.91655,             0.90909,             0.91612,             0.40114,            0.027432,           0.0079085,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022325,            0.015683,                   0,             0.95681,             0.90909,             0.91693,             0.40898,            0.026968,           0.0078684,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.024193,            0.016895,                   0,             0.93061,             0.90909,               0.915,              0.4023,             0.02752,           0.0080654,                   0,            0.000298,            0.000298,            0.000298
